Unnamed: 0,Zona,Ciudad,Precios,Direcciones,Dimensiones
230,2,2,"7,899,000","Vergel de Coyoacán, Tlalpan",- 179 m² tot. - 4 rec. - 3 baños - 2 estac.
231,2,2,"12,990,000","Fuentes del Pedregal, Tlalpan",- 238 m² tot. - 3 rec. - 2 baños - 4 estac.
232,2,2,"23,500,000","Florida, Alvaro Obregón",- 246 m² tot. - 3 rec. - 4 baños - 4 estac.
233,2,2,"24,500,000","Jardines del Pedregal, Alvaro Obregón",- 850 m² tot. - 3 rec. - 4 baños - 3 estac.
234,2,2,"14,950,000","Florida, Alvaro Obregón",- 200 m² tot. - 3 rec. - 2 baños - 2 estac.
235,2,2,"14,950,000","Florida, Alvaro Obregón",- 300 m² tot. - 4 rec. - 3 baños - 4 estac.
236,2,2,"8,999,999","Vergel de Coyoacán, Tlalpan",- 225 m² tot. - 4 rec. - 2 baños - 2 estac.
237,2,2,"5,998,000","San Antonio, Azcapotzalco",- 203 m² tot. - 6 rec. - 2 baños - 4 estac.
238,2,2,"6,500,000","Tetelpan, Alvaro Obregón",- 158 m² tot. - 3 rec. - 2 baños - 3 estac.
239,2,2,"30,000,000","Florida, Alvaro Obregón",- 343 m² tot. - 4 rec. - 3 baños - 5 estac.
240,2,2,"35,000,000","Jardines del Pedregal, Alvaro Obregón",- 800 m² tot. - 4 rec. - 3 baños - 5 estac.
241,2,2,"16,900,000","Club de Golf México, Tlalpan",- 522 m² tot. - 3 rec. - 3 baños - 8 estac.
242,2,2,"5,999,000","Portales Sur, Benito Juárez",- 77 m² tot. - 3 rec. - 2 baños - 2 estac.
243,2,2,"9,350,000","Pueblo Nuevo Bajo, La Magdalena Contreras",- 518 m² tot. - 3 rec. - 3 baños - 4 estac.
244,2,2,"23,000,000","Jardines del Pedregal, Alvaro Obregón",- 1176 m² tot. - 4 rec. - 6 baños - 2 estac.
245,2,2,"20,000,000","Roma Norte, Cuauhtémoc",- 422 m² tot.
246,2,2,"7,800,000","San Jerónimo Lídice, La Magdalena Contreras",- 209 m² tot. - 3 rec. - 2 baños - 2 estac.
247,2,2,"12,460,000","Del Valle Centro, Benito Juárez",- 162 m² tot. - 4 rec. - 3 baños
248,2,2,"11,500,000","Cristo Rey, Alvaro Obregón",- 387 m² tot. - 12 rec. - 6 baños - 6 estac.
